ts_code,name,industry,close,pb,roe,pe,total_mv
600016.SH,民生银行,银行,3.88,0.31,5.0962,6.06,16987578.38
601997.SH,贵阳银行,银行,5.84,0.345,8.0435,4.33,2135219.68
600015.SH,华夏银行,银行,6.58,0.347,8.1333,4.06,10472022.93
601186.SH,中国铁建,建筑工程,7.23,0.372,6.963,4.95,9818008.5
601818.SH,光大银行,银行,3.31,0.405,7.3145,5.34,19557317.4
601169.SH,北京银行,银行,5.4,0.424,7.5531,5.05,11417211.51
001227.SZ,兰州银行,银行,2.38,0.444,5.5121,8.23,1355575.93
601390.SH,中国中铁,建筑工程,5.51,0.448,8.1155,5.08,13602108.28
600000.SH,浦发银行,银行,10.12,0.453,6.195,7.44,33705508.36
601668.SH,中国建筑,建筑工程,5.07,0.466,10.3815,4.57,20949437.96
601916.SH,浙商银行,银行,2.96,0.467,7.8858,5.69,8129532.24
601800.SH,中国交建,建筑工程,8.13,0.469,7.6026,5.93,13231285.75
002958.SZ,青农商行,银行,3.15,0.489,7.2447,6.7,1750021.08
000001.SZ,平安银行,银行,11.05,0.505,9.2038,5.14,21443539.61
601166.SH,XD兴业银,银行,18.85,0.511,9.2013,5.37,39891983.55
601328.SH,交通银行,银行,6.71,0.514,8.3846,5.78,59292099.21
600928.SH,西安银行,银行,3.88,0.516,7.9625,6.69,1724444.44
603323.SH,苏农银行,银行,5.13,0.522,11.5005,4.79,1035511.76
601860.SH,紫金银行,银行,2.8,0.523,8.4541,6.36,1025081.26
600248.SH,陕建股份,建筑工程,3.56,0.545,10.5335,4.44,1331345.76
601528.SH,瑞丰银行,银行,5.56,0.575,10.7972,5.67,1090961.74
601998.SH,中信银行,银行,7.45,0.592,9.1041,6.11,41455645.89
601229.SH,上海银行,银行,9.77,0.593,9.5622,6.11,13882202.84
601577.SH,长沙银行,银行,9.91,0.595,10.861,5.3,3985359.77
601077.SH,渝农商行,银行,6.58,0.595,9.0856,6.65,7472906.0
600269.SH,赣粤高速,路桥,4.92,0.616,7.0438,8.95,1149020.25
600908.SH,无锡银行,银行,5.98,0.618,10.169,5.8275,1312419.65
601658.SH,邮储银行,银行,5.18,0.619,8.7153,6.4,62209237.71
601006.SH,大秦铁路,铁路,5.07,0.619,6.1777,9.94,10214619.1
002807.SZ,江阴银行,银行,4.68,0.62,11.8487,5.6,1151931.83
689009.SH,九号公司-WD,摩托车,53.25,0.62,18.6709,3.48,3841672.58
002839.SZ,张家港行,银行,4.68,0.645,10.221,5.78,1143953.45
000498.SZ,山东路桥,建筑工程,6.22,0.647,9.8853,5.06,965618.34
601988.SH,中国银行,银行,5.35,0.654,8.7349,7.13,172383640.32
600694.SH,大商股份,百货,18.32,0.659,6.8592,9.8,630863.54
600971.SH,恒源煤电,煤炭开采,6.85,0.665,8.587,7.67,822003.35
601825.SH,沪农商行,银行,8.56,0.667,10.4021,6.74,8255644.44
600820.SH,隧道股份,建筑工程,6.62,0.679,8.9378,7.36,2081391.61
601669.SH,中国电建,建筑工程,5.52,0.688,7.3681,8.7,9508839.95
600997.SH,开滦股份,焦炭加工,6.23,0.692,5.7171,12.22,989199.31
