ts_code,name,industry,roe_2023,roe_2024,debt_to_assets,netprofit_yoy
603402.SH,陕西旅游,旅游景点,92.681,62.9251,34.2339,22.3441
603202.SH,天有为,汽车配件,64.3998,49.3977,43.9523,34.959
301004.SZ,嘉益股份,家居用品,43.4188,44.814,30.7759,55.2726
605117.SH,德业股份,电气设备,38.5409,40.3164,37.4457,65.2914
600809.SH,山西汾酒,白酒,42.4678,39.1204,34.1913,17.2902
600519.SH,贵州茅台,白酒,36.1755,38.4283,19.0448,15.38
300441.SZ,鲍斯股份,机床制造,16.0808,38.0782,26.3387,196.5838
300394.SZ,天孚通信,通信设备,25.0889,37.4653,15.8491,84.0745
688278.SH,特宝生物,生物制药,33.8276,37.3659,16.2961,48.9969
688775.SH,影石创新,IT设备,46.6653,37.0699,36.6422,19.9107
000007.SZ,全新好,其他商业,33.2621,36.996,39.9157,56.8607
001221.SZ,悍高集团,家居用品,31.7217,35.8847,30.1558,59.7151
300760.SZ,迈瑞医疗,医疗保健,35.6014,33.8503,28.0444,0.7448
001233.SZ,海安集团,汽车配件,47.6676,33.2344,27.2894,3.8413
301479.SZ,弘景光电,元器件,31.8802,32.5941,44.782,41.9112
603605.SH,珀莱雅,日用化工,30.3242,31.8305,27.1432,29.9972
300628.SZ,亿联网络,通信设备,25.101,31.0173,8.4592,31.7195
300308.SZ,中际旭创,通信设备,16.5879,30.9717,29.7005,137.9305
600329.SH,达仁堂,中成药,15.0388,30.868,27.1036,125.9367
688578.SH,艾力斯,化学制药,17.9703,30.8653,10.7049,121.9657
688617.SH,惠泰医疗,医疗保健,29.0931,30.4354,14.2871,26.0763
000568.SZ,泸州老窖,白酒,35.0437,30.3514,30.4774,1.7106
301275.SZ,汉朔科技,元器件,40.9262,30.12,47.5591,4.8076
002027.SZ,分众传媒,广告包装,27.8682,29.6963,24.0272,6.801
301668.SZ,昊创瑞通,电气设备,31.4164,29.3286,38.7572,27.3178
600211.SH,西藏药业,生物制药,25.2005,28.9515,16.7511,31.2611
603699.SH,纽威股份,机械基件,20.6458,28.6612,49.3077,60.0973
603198.SH,迎驾贡酒,白酒,29.9742,28.4841,26.2717,13.4472
603195.SH,公牛集团,家用电器,28.8334,28.1882,22.5385,10.389
600779.SH,水井坊,白酒,32.3145,27.9903,43.4437,5.6929
300896.SZ,爱美客,医疗保健,30.4816,27.679,4.6804,5.3335
002517.SZ,恺英网络,互联网,30.089,27.6199,18.4342,11.4084
001389.SZ,广合科技,元器件,25.6027,27.5725,45.9378,63.0392
301491.SZ,汉桑科技,IT设备,18.5798,27.1026,29.8866,86.5208
603025.SH,大豪科技,纺织机械,19.3271,25.7121,38.4299,44.0837
301636.SZ,泽润新能,电气设备,31.4488,25.3666,44.974,9.2974
300866.SZ,安克创新,元器件,21.7598,24.9373,44.9248,30.9348
600285.SH,羚锐制药,中成药,21.2697,24.6454,38.601,27.1852
603871.SH,嘉友国际,仓储物流,22.9993,24.3876,24.9103,22.8757
000858.SZ,五粮液,白酒,24.8051,24.2374,27.5468,5.4371
601702.SH,华峰铝业,铝,21.7804,24.2192,33.0178,35.4432
002463.SZ,沪电股份,元器件,16.7579,23.9277,43.808,71.0526
000596.SZ,古井贡酒,白酒,22.9194,23.8933,36.5936,20.2234
300033.SZ,同花顺,软件服务,19.259,23.8441,27.3509,30.0041
603369.SH,今世缘,白酒,25.7564,23.743,36.1997,8.7971
601058.SH,赛轮轮胎,汽车配件,22.8382,23.6459,48.9345,31.4179
300979.SZ,华利集团,服饰,22.6128,23.6031,23.3759,20.0024
301501.SZ,恒鑫生活,造纸,29.9046,23.543,43.8085,2.8172
