from_phase,to_phase,count,mean_excess_20d,median_excess_20d,winrate_20d
accel_up,accel_down,11,4.94,0.68,63.6
accel_down,accel_up,13,4.61,5.64,91.7
accel_down,decel_down,49,3.89,3.71,75.0
decel_down,neutral,537,2.04,2.69,67.0
neutral,decel_down,735,1.59,2.46,66.0
decel_down,accel_down,32,1.32,3.16,63.3
decel_down,accel_up,282,1.04,0.96,56.8
decel_up,accel_up,62,0.7,0.4,51.6
accel_down,decel_up,145,0.61,0.89,55.3
accel_down,neutral,1302,0.49,1.26,54.0
neutral,accel_up,1981,0.42,0.59,54.2
accel_up,neutral,2167,0.41,0.83,55.2
neutral,accel_down,1113,0.35,1.14,54.9
accel_up,decel_down,75,-0.19,1.52,58.5
decel_up,accel_down,293,-0.51,-0.0,50.0
accel_up,decel_up,81,-0.8,-0.69,46.8
neutral,decel_up,1343,-1.05,-0.0,49.7
decel_up,neutral,1215,-1.37,-0.22,48.5
