sector_name,event_date,from_phase,to_phase,ret_5d,excess_5d,ret_10d,excess_10d,ret_20d,excess_20d
黑色家电,2026-04-23,accel_up,neutral,,,,,,
互联网电商,2026-04-23,accel_up,neutral,,,,,,
半导体,2026-04-23,accel_up,neutral,,,,,,
非白酒,2026-04-23,neutral,decel_down,,,,,,
油服工程,2026-04-23,neutral,decel_down,,,,,,
非金属材料,2026-04-23,accel_up,neutral,,,,,,
汽车服务,2026-04-23,accel_up,neutral,,,,,,
造纸,2026-04-23,accel_up,neutral,,,,,,
装修装饰,2026-04-23,accel_up,neutral,,,,,,
林业,2026-04-23,neutral,decel_down,,,,,,
通信设备,2026-04-23,accel_up,neutral,,,,,,
农化制品,2026-04-23,accel_up,neutral,,,,,,
风电设备,2026-04-23,accel_up,neutral,,,,,,
塑料,2026-04-23,accel_up,neutral,,,,,,
教育,2026-04-23,accel_up,neutral,,,,,,
调味发酵品,2026-04-23,neutral,accel_up,,,,,,
贵金属,2026-04-23,accel_up,neutral,,,,,,
饮料乳品,2026-04-23,neutral,decel_down,,,,,,
化学纤维,2026-04-23,accel_up,neutral,,,,,,
医疗器械,2026-04-23,accel_up,neutral,,,,,,
地面兵装,2026-04-23,accel_up,neutral,,,,,,
装修建材,2026-04-23,accel_up,neutral,,,,,,
小金属,2026-04-23,accel_up,neutral,,,,,,
其他电源设备,2026-04-23,accel_up,neutral,,,,,,
电子化学品,2026-04-23,accel_up,neutral,,,,,,
铁路公路,2026-04-23,decel_down,neutral,,,,,,
农业综合,2026-04-23,accel_up,neutral,,,,,,
元件,2026-04-23,accel_up,neutral,,,,,,
光学光电子,2026-04-23,accel_up,neutral,,,,,,
旅游及景区,2026-04-22,decel_up,neutral,,,,,,
乘用车,2026-04-22,accel_down,neutral,,,,,,
文娱用品,2026-04-22,accel_up,neutral,,,,,,
数字媒体,2026-04-22,accel_up,neutral,,,,,,
股份制银行,2026-04-22,neutral,accel_down,,,,,,
化学制品,2026-04-22,accel_up,neutral,,,,,,
白色家电,2026-04-22,accel_up,neutral,,,,,,
调味发酵品,2026-04-22,accel_up,neutral,,,,,,
通信设备,2026-04-22,neutral,accel_up,,,,,,
房地产服务,2026-04-22,accel_up,neutral,,,,,,
光伏设备,2026-04-22,decel_down,neutral,,,,,,
影视院线,2026-04-22,accel_up,neutral,,,,,,
纺织制造,2026-04-22,accel_up,neutral,,,,,,
工程咨询服务,2026-04-22,accel_up,neutral,,,,,,
医疗器械,2026-04-22,neutral,accel_up,,,,,,
元件,2026-04-22,neutral,accel_up,,,,,,
包装印刷,2026-04-22,accel_up,neutral,,,,,,
游戏,2026-04-22,accel_up,neutral,,,,,,
电池,2026-04-22,accel_up,neutral,,,,,,
家电零部件,2026-04-22,accel_up,neutral,,,,,,
航空机场,2026-04-22,decel_up,neutral,,,,,,
休闲食品,2026-04-22,accel_up,neutral,,,,,,
铁路公路,2026-04-22,accel_up,decel_down,,,,,,
农商行,2026-04-22,decel_up,accel_down,,,,,,
物流,2026-04-22,accel_up,neutral,,,,,,
环境治理,2026-04-22,accel_up,neutral,,,,,,
装修建材,2026-04-22,neutral,accel_up,,,,,,
航天装备,2026-04-22,accel_up,neutral,,,,,,
农化制品,2026-04-22,neutral,accel_up,,,,,,
汽车服务,2026-04-22,neutral,accel_up,,,,,,
水泥,2026-04-22,decel_down,neutral,,,,,,
其他电源设备,2026-04-22,neutral,accel_up,,,,,,
电力,2026-04-22,accel_up,decel_down,,,,,,
其他电子,2026-04-22,accel_up,neutral,,,,,,
互联网电商,2026-04-22,neutral,accel_up,,,,,,
服装家纺,2026-04-22,accel_up,neutral,,,,,,
风电设备,2026-04-22,neutral,accel_up,,,,,,
出版,2026-04-22,accel_up,neutral,,,,,,
多元金融,2026-04-22,accel_up,decel_down,,,,,,
塑料,2026-04-22,neutral,accel_up,,,,,,
轨交设备,2026-04-22,accel_up,neutral,,,,,,
黑色家电,2026-04-22,neutral,accel_up,,,,,,
地面兵装,2026-04-22,neutral,accel_up,,,,,,
饲料,2026-04-22,accel_up,neutral,,,,,,
半导体,2026-04-22,neutral,accel_up,,,,,,
个护用品,2026-04-22,accel_up,neutral,,,,,,
医疗美容,2026-04-22,neutral,accel_up,,,,,,
基础建设,2026-04-22,accel_up,neutral,,,,,,
汽车零部件,2026-04-21,accel_up,neutral,,,,,,
软件开发,2026-04-21,decel_down,neutral,,,,,,
互联网电商,2026-04-21,accel_up,neutral,,,,,,
汽车服务,2026-04-21,accel_up,neutral,,,,,,
出版,2026-04-21,decel_down,accel_up,,,,,,
橡胶,2026-04-21,accel_up,neutral,,,,,,
林业,2026-04-21,accel_up,neutral,,,,,,
基础建设,2026-04-21,neutral,accel_up,,,,,,
通信设备,2026-04-21,accel_up,neutral,,,,,,
医药商业,2026-04-21,decel_up,neutral,,,,,,
装修建材,2026-04-21,accel_up,neutral,,,,,,
白色家电,2026-04-21,decel_down,accel_up,,,,,,
旅游及景区,2026-04-21,neutral,decel_up,,,,,,
计算机设备,2026-04-21,accel_up,neutral,,,,,,
厨卫电器,2026-04-21,accel_down,neutral,,,,,,
塑料,2026-04-21,accel_up,neutral,,,,,,
乘用车,2026-04-21,neutral,accel_down,,,,,,
教育,2026-04-21,neutral,accel_up,,,,,,
摩托车及其他,2026-04-21,accel_up,neutral,,,,,,
多元金融,2026-04-21,decel_down,accel_up,,,,,,
化学制药,2026-04-21,decel_up,neutral,,,,,,
房屋建设,2026-04-21,accel_down,neutral,,,,,,
个护用品,2026-04-21,neutral,accel_up,,,,,,
专用设备,2026-04-21,accel_up,neutral,,,,,,
油服工程,2026-04-21,decel_down,neutral,,,,,,
物流,2026-04-21,decel_down,accel_up,,,,,,
电机,2026-04-21,accel_up,neutral,,,,,,
电力,2026-04-21,neutral,accel_up,,,,,,
自动化设备,2026-04-21,accel_up,neutral,,,,,,
金属新材料,2026-04-21,accel_up,neutral,,,,,,
保险,2026-04-21,decel_down,neutral,,,,,,
其他电源设备,2026-04-21,accel_up,neutral,,,,,,
商用车,2026-04-21,accel_up,neutral,,,,,,
环保设备,2026-04-21,accel_up,neutral,,,,,,
通用设备,2026-04-21,accel_up,neutral,,,,,,
体育,2026-04-21,accel_up,neutral,,,,,,
专业服务,2026-04-21,accel_up,neutral,,,,,,
军工电子,2026-04-21,accel_up,neutral,,,,,,
电网设备,2026-04-21,accel_up,neutral,,,,,,
半导体,2026-04-21,accel_up,neutral,,,,,,
煤炭开采,2026-04-21,neutral,decel_down,,,,,,
铁路公路,2026-04-21,decel_down,accel_up,,,,,,
农产品加工,2026-04-21,accel_up,neutral,,,,,,
航空机场,2026-04-21,accel_down,decel_up,,,,,,
炼化及贸易,2026-04-21,accel_up,neutral,,,,,,
游戏,2026-04-21,neutral,accel_up,,,,,,
航空装备,2026-04-21,accel_up,neutral,,,,,,
地面兵装,2026-04-21,accel_up,neutral,,,,,,
渔业,2026-04-21,accel_up,neutral,,,,,,
股份制银行,2026-04-21,accel_down,neutral,,,,,,
非白酒,2026-04-21,decel_down,neutral,,,,,,
消费电子,2026-04-21,accel_up,neutral,,,,,,
农商行,2026-04-21,accel_down,decel_up,,,,,,
电池,2026-04-21,neutral,accel_up,,,,,,
家居用品,2026-04-21,accel_up,neutral,,,,,,
工业金属,2026-04-21,accel_up,neutral,,,,,,
黑色家电,2026-04-21,accel_up,neutral,,,,,,
IT服务,2026-04-21,accel_up,neutral,,,,,,
饮料乳品,2026-04-21,decel_down,neutral,,,,,,
医疗美容,2026-04-21,decel_down,neutral,,,,,,
化学纤维,2026-04-21,neutral,accel_up,,,,,,
元件,2026-04-21,accel_up,neutral,,,,,,
贸易,2026-04-21,decel_down,neutral,,,,,,
中药,2026-04-21,decel_up,neutral,,,,,,
医疗服务,2026-04-21,decel_up,neutral,,,,,,
广告营销,2026-04-21,accel_up,neutral,,,,,,
化学原料,2026-04-21,decel_down,accel_up,,,,,,
非白酒,2026-04-20,neutral,decel_down,,,,,,
贸易,2026-04-20,accel_down,decel_down,,,,,,
通信服务,2026-04-20,decel_down,neutral,,,,,,
专业连锁,2026-04-20,accel_up,neutral,,,,,,
油服工程,2026-04-20,neutral,decel_down,,,,,,
专业工程,2026-04-20,accel_up,neutral,,,,,,
房地产服务,2026-04-20,decel_down,accel_up,,,,,,
冶钢原料,2026-04-20,accel_up,neutral,,,,,,
饲料,2026-04-20,neutral,accel_up,,,,,,
渔业,2026-04-20,neutral,accel_up,,,,,,
汽车服务,2026-04-20,neutral,accel_up,,,,,,
电池,2026-04-20,accel_up,neutral,,,,,,
出版,2026-04-20,neutral,decel_down,,,,,,
橡胶,2026-04-20,decel_down,accel_up,,,,,,
林业,2026-04-20,neutral,accel_up,,,,,,
广告营销,2026-04-20,decel_down,accel_up,,,,,,
普钢,2026-04-20,decel_down,neutral,,,,,,
白色家电,2026-04-20,accel_down,decel_down,,,,,,
休闲食品,2026-04-20,neutral,accel_up,,,,,,
游戏,2026-04-20,decel_down,neutral,,,,,,
造纸,2026-04-20,neutral,accel_up,,,,,,
专业服务,2026-04-20,decel_down,accel_up,,,,,,
能源金属,2026-04-20,accel_up,neutral,,,,,,
中药,2026-04-20,accel_down,decel_up,,,,,,
保险,2026-04-20,neutral,decel_down,,,,,,
商用车,2026-04-20,neutral,accel_up,,,,,,
环境治理,2026-04-20,decel_down,accel_up,,,,,,
特钢,2026-04-20,decel_down,neutral,,,,,,
小家电,2026-04-20,neutral,accel_up,,,,,,
航海装备,2026-04-20,decel_down,accel_up,,,,,,
体育,2026-04-20,neutral,accel_up,,,,,,
农业综合,2026-04-20,decel_down,accel_up,,,,,,
地面兵装,2026-04-20,neutral,accel_up,,,,,,
个护用品,2026-04-20,accel_down,neutral,,,,,,
照明设备,2026-04-20,accel_up,neutral,,,,,,
铁路公路,2026-04-20,neutral,decel_down,,,,,,
家居用品,2026-04-20,decel_down,accel_up,,,,,,
农产品加工,2026-04-20,neutral,accel_up,,,,,,
炼化及贸易,2026-04-20,neutral,accel_up,,,,,,
医疗器械,2026-04-20,accel_down,neutral,,,,,,
旅游零售,2026-04-20,neutral,decel_down,,,,,,
农化制品,2026-04-20,accel_down,neutral,,,,,,
包装印刷,2026-04-20,neutral,accel_up,,,,,,
油气开采,2026-04-20,accel_down,neutral,,,,,,
调味发酵品,2026-04-20,neutral,accel_up,,,,,,
贵金属,2026-04-20,neutral,accel_up,,,,,,
数字媒体,2026-04-20,decel_down,accel_up,,,,,,
乘用车,2026-04-20,accel_down,neutral,,,,,,
旅游及景区,2026-04-20,accel_down,neutral,,,,,,
一般零售,2026-04-20,decel_down,neutral,,,,,,
房地产开发,2026-04-20,decel_down,neutral,,,,,,
医疗美容,2026-04-20,neutral,decel_down,,,,,,
种植业,2026-04-20,neutral,accel_up,,,,,,
厨卫电器,2026-04-20,neutral,accel_down,,,,,,
化妆品,2026-04-20,decel_down,accel_up,,,,,,
摩托车及其他,2026-04-20,neutral,accel_up,,,,,,
化学原料,2026-04-20,neutral,decel_down,,,,,,
黑色家电,2026-04-17,decel_down,accel_up,,,,,,
农化制品,2026-04-17,neutral,accel_down,,,,,,
乘用车,2026-04-17,neutral,accel_down,,,,,,
医疗器械,2026-04-17,neutral,accel_down,,,,,,
旅游零售,2026-04-17,decel_down,neutral,,,,,,
造纸,2026-04-17,decel_down,neutral,,,,,,
白色家电,2026-04-17,neutral,accel_down,,,,,,
光伏设备,2026-04-17,neutral,decel_down,,,,,,
纺织制造,2026-04-17,decel_down,accel_up,,,,,,
休闲食品,2026-04-17,decel_down,neutral,,,,,,
地面兵装,2026-04-17,accel_up,neutral,,,,,,
专业连锁,2026-04-17,decel_down,accel_up,,,,,,
农商行,2026-04-17,neutral,accel_down,,,,,,
工程咨询服务,2026-04-17,decel_down,accel_up,,,,,,
证券,2026-04-17,decel_down,neutral,,,,,,
装修建材,2026-04-17,decel_down,accel_up,,,,,,
贸易,2026-04-17,neutral,accel_down,,,,,,
工程机械,2026-04-17,decel_down,neutral,,,,,,
旅游及景区,2026-04-17,neutral,accel_down,,,,,,
光学光电子,2026-04-17,decel_down,accel_up,,,,,,
电视广播,2026-04-17,decel_down,neutral,,,,,,
化学制品,2026-04-17,decel_down,accel_up,,,,,,
玻璃玻纤,2026-04-17,accel_up,neutral,,,,,,
酒店餐饮,2026-04-17,decel_down,neutral,,,,,,
其他家电,2026-04-17,decel_down,neutral,,,,,,
其他电子,2026-04-17,decel_down,accel_up,,,,,,
个护用品,2026-04-17,neutral,accel_down,,,,,,
中药,2026-04-17,neutral,accel_down,,,,,,
金属新材料,2026-04-17,decel_down,accel_up,,,,,,
生物制品,2026-04-17,accel_up,neutral,,,,,,
保险,2026-04-17,decel_down,neutral,,,,,,
化学制药,2026-04-17,neutral,decel_up,,,,,,
商用车,2026-04-17,decel_down,neutral,,,,,,
环境治理,2026-04-17,neutral,decel_down,,,,,,
饰品,2026-04-17,decel_down,neutral,,,,,,
食品加工,2026-04-17,decel_down,neutral,,,,,,
军工电子,2026-04-17,decel_down,accel_up,,,,,,
小金属,2026-04-17,decel_down,accel_up,,,,,,
物流,2026-04-17,neutral,decel_down,,,,,,
体育,2026-04-17,accel_up,neutral,,,,,,
电网设备,2026-04-17,neutral,accel_up,,,,,,
农业综合,2026-04-17,neutral,decel_down,,,,,,
航空机场,2026-04-17,neutral,accel_down,,,,,,
教育,2026-04-17,decel_down,neutral,,,,,,
轨交设备,2026-04-17,decel_down,accel_up,,,,,,
专业工程,2026-04-17,decel_down,accel_up,,,,,,
航空装备,2026-04-17,decel_down,accel_up,,,,,,
水泥,2026-04-17,neutral,decel_down,,,,,,
股份制银行,2026-04-17,neutral,accel_down,,,,,,
计算机设备,2026-04-17,decel_down,accel_up,,,,,,
汽车服务,2026-04-17,decel_down,neutral,,,,,,
饲料,2026-04-17,decel_down,neutral,,,,,,
白酒,2026-04-17,accel_down,neutral,,,,,,
专用设备,2026-04-17,decel_down,accel_up,,,,,,
装修装饰,2026-04-17,neutral,accel_up,,,,,,
橡胶,2026-04-17,neutral,decel_down,,,,,,
汽车零部件,2026-04-17,decel_down,accel_up,,,,,,
互联网电商,2026-04-17,decel_down,accel_up,,,,,,
动物保健,2026-04-17,decel_down,neutral,,,,,,
出版,2026-04-17,decel_down,neutral,,,,,,
包装印刷,2026-04-17,accel_up,neutral,,,,,,
服装家纺,2026-04-17,neutral,accel_up,,,,,,
医药商业,2026-04-17,neutral,decel_up,,,,,,
地面兵装,2026-04-16,neutral,accel_up,1.0340404372868317,-2.5622130653407904,,,,
医药商业,2026-04-16,accel_up,neutral,-2.825586513980727,-6.421840016608349,,,,
化学制品,2026-04-16,neutral,decel_down,-0.1215010805085015,-3.7177545831361236,,,,
饮料乳品,2026-04-16,neutral,decel_down,0.02766015879667183,-3.5685933438309503,,,,
其他家电,2026-04-16,neutral,decel_down,-4.366603878683762,-7.962857381311384,,,,
IT服务,2026-04-16,neutral,accel_up,-1.515129907660051,-5.111383410287673,,,,
农产品加工,2026-04-16,accel_down,neutral,-0.319107892136683,-3.915361394764305,,,,
金属新材料,2026-04-16,accel_up,decel_down,-1.024948935206682,-4.621202437834304,,,,
军工电子,2026-04-16,accel_up,decel_down,-0.37206931424428324,-3.9683228168719054,,,,
化学原料,2026-04-16,accel_down,neutral,1.658712966509679,-1.9375405361179432,,,,
玻璃玻纤,2026-04-16,neutral,accel_up,2.877343045882319,-0.7189104567453031,,,,
其他电源设备,2026-04-16,neutral,accel_up,1.0418972059330844,-2.5543562966945377,,,,
电视广播,2026-04-16,neutral,decel_down,-2.6750176967433426,-6.271271199370965,,,,
普钢,2026-04-16,neutral,decel_down,-4.281756688760952,-7.878010191388574,,,,
教育,2026-04-16,neutral,decel_down,-0.6339774322608793,-4.230230934888501,,,,
能源金属,2026-04-16,neutral,accel_up,-2.252598105668824,-5.848851608296446,,,,
服装家纺,2026-04-16,accel_down,neutral,-0.23368425394943992,-3.829937756577062,,,,
农业综合,2026-04-16,accel_down,neutral,-0.013608084839700219,-3.6098615874673223,,,,
航海装备,2026-04-16,neutral,decel_down,11.34635886672557,7.750105364097948,,,,
体育,2026-04-16,neutral,accel_up,-4.1833901551554415,-7.779643657783064,,,,
燃气,2026-04-16,neutral,decel_down,2.848423935946909,-0.7478295666807133,,,,
广告营销,2026-04-16,neutral,decel_down,-3.0993584023179865,-6.695611904945609,,,,
摩托车及其他,2026-04-16,accel_down,neutral,-3.015708084021429,-6.611961586649051,,,,
通信设备,2026-04-16,neutral,accel_up,1.315717561374985,-2.280535941252637,,,,
造纸,2026-04-16,neutral,decel_down,1.5433086312533595,-2.0529448713742626,,,,
小金属,2026-04-16,neutral,decel_down,1.570691620198117,-2.025561882429505,,,,
饲料,2026-04-16,neutral,decel_down,-3.5798654159848398,-7.176118918612461,,,,
化学纤维,2026-04-16,accel_down,neutral,3.9169626234365706,0.32070912080894853,,,,
休闲食品,2026-04-16,neutral,decel_down,0.09757425908580863,-3.4986792435418135,,,,
其他电子,2026-04-16,accel_up,decel_down,0.7780115226650564,-2.8182419799625658,,,,
包装印刷,2026-04-16,neutral,accel_up,1.2370699676417019,-2.3591835349859203,,,,
自动化设备,2026-04-16,neutral,accel_up,-0.08147761752403948,-3.6777311201516616,,,,
酒店餐饮,2026-04-16,neutral,decel_down,-10.22727258199897,-13.823526084626591,,,,
电子化学品,2026-04-16,neutral,accel_up,6.400112802920033,2.8038593002924106,,,,
农化制品,2026-04-16,accel_down,neutral,-1.1729304003774144,-4.769183903005036,,,,
塑料,2026-04-16,neutral,accel_up,1.3727481753592174,-2.2235053272684047,,,,
汽车服务,2026-04-16,neutral,decel_down,-3.479351963923616,-7.075605466551238,,,,
冶钢原料,2026-04-16,neutral,accel_up,-2.835845716160068,-6.43209921878769,,,,
工业金属,2026-04-16,neutral,accel_up,-0.6876974579508199,-4.2839509605784425,,,,
文娱用品,2026-04-16,neutral,accel_up,-1.2162962354543283,-4.81254973808195,,,,
影视院线,2026-04-16,neutral,accel_up,11.363634603791972,7.76738110116435,,,,
贸易,2026-04-16,accel_down,neutral,-1.2796194052870136,-4.875872907914635,,,,
电机,2026-04-16,neutral,accel_up,-0.8030381206056925,-4.399291623233315,,,,
个护用品,2026-04-16,accel_down,neutral,-1.1282789886723932,-4.724532491300016,,,,
专用设备,2026-04-16,neutral,decel_down,-0.06792923514744587,-3.664182737775068,,,,
轨交设备,2026-04-16,neutral,decel_down,-0.08482332425947536,-3.6810768268870975,,,,
出版,2026-04-16,neutral,decel_down,-2.1120177168427623,-5.708271219470385,,,,
非金属材料,2026-04-16,neutral,accel_up,3.484476331566455,-0.11177717106116702,,,,
纺织制造,2026-04-16,neutral,decel_down,0.47444436646975063,-3.1218091361578715,,,,
房地产开发,2026-04-16,neutral,decel_down,-0.3921306110568068,-3.988384113684429,,,,
光学光电子,2026-04-16,accel_up,decel_down,1.521026108230017,-2.075227394397605,,,,
旅游零售,2026-04-16,neutral,decel_down,,,,,,
通信服务,2026-04-16,neutral,decel_down,-2.6985095170669604,-6.2947630196945825,,,,
航海装备,2026-04-15,accel_down,neutral,15.30865466923581,12.264958217477663,,,,
个护用品,2026-04-15,neutral,accel_down,1.1003767581434287,-1.9433196936147201,,,,
通用设备,2026-04-15,decel_down,accel_up,4.596040284499847,1.5523438327416983,,,,
摩托车及其他,2026-04-15,neutral,accel_down,1.661648015346029,-1.38204843641212,,,,
电子化学品,2026-04-15,accel_up,neutral,9.830728606374128,6.7870321546159795,,,,
电机,2026-04-15,decel_down,neutral,2.782890746869504,-0.26080570488864474,,,,
金属新材料,2026-04-15,decel_down,accel_up,2.7324159315526453,-0.31128052020550356,,,,
纺织制造,2026-04-15,decel_down,neutral,3.125249418707443,0.08155296694929426,,,,
能源金属,2026-04-15,accel_up,neutral,6.135006001963017,3.091309550204868,,,,
自动化设备,2026-04-15,accel_up,neutral,4.529481715150641,1.4857852633924917,,,,
服装家纺,2026-04-15,decel_down,accel_down,1.6927542170819487,-1.3509422346762001,,,,
玻璃玻纤,2026-04-15,accel_up,neutral,4.695207913202792,1.6515114614446436,,,,
普钢,2026-04-15,decel_down,neutral,-0.1421292026603127,-3.1858256544184615,,,,
包装印刷,2026-04-15,decel_down,neutral,2.884250617875561,-0.1594458338825877,,,,
航天装备,2026-04-15,decel_down,accel_up,6.607365693656941,3.5636692418987925,,,,
其他电子,2026-04-15,decel_down,accel_up,4.82677626016037,1.7830798084022215,,,,
其他家电,2026-04-15,decel_down,neutral,-2.4745380610930456,-5.518234512851194,,,,
医疗服务,2026-04-15,neutral,decel_up,-2.142875750847506,-5.186572202605655,,,,
化学原料,2026-04-15,neutral,accel_down,2.9397716362066006,-0.1039248155515482,,,,
医药商业,2026-04-15,neutral,accel_up,-3.655095916824569,-6.698792368582717,,,,
旅游零售,2026-04-15,decel_down,neutral,,,,,,
军工电子,2026-04-15,decel_down,accel_up,3.1197958805504022,0.0760994287922534,,,,
通信设备,2026-04-15,accel_up,neutral,8.183270005367715,5.139573553609567,,,,
小金属,2026-04-15,decel_down,neutral,10.186678691536176,7.1429822397780285,,,,
航空机场,2026-04-15,decel_down,neutral,-0.6351688503713149,-3.6788653021294637,,,,
农化制品,2026-04-15,neutral,accel_down,0.9930747650540805,-2.0506216867040683,,,,
游戏,2026-04-15,neutral,decel_down,2.546889305907052,-0.496807145851097,,,,
化学制品,2026-04-15,decel_down,neutral,2.7307826846933114,-0.3129137670648374,,,,
光学光电子,2026-04-15,decel_down,accel_up,6.216036147951898,3.172339696193749,,,,
白色家电,2026-04-15,decel_down,neutral,0.6784321008802774,-2.3652643508778715,,,,
塑料,2026-04-15,decel_down,neutral,5.435567917268935,2.3918714655107864,,,,
多元金融,2026-04-15,neutral,decel_down,2.231539921211634,-0.812156530546515,,,,
农产品加工,2026-04-15,neutral,accel_down,1.3605035359614215,-1.6831929157967274,,,,
地面兵装,2026-04-15,decel_down,neutral,4.133515914300645,1.0898194625424962,,,,
饲料,2026-04-15,decel_down,neutral,-0.20671618088605737,-3.250412632644206,,,,
软件开发,2026-04-15,neutral,decel_down,1.3551712735515586,-1.6885251782065902,,,,
电视广播,2026-04-15,decel_down,neutral,-0.34233044397476986,-3.3860268957329187,,,,
汽车服务,2026-04-15,decel_down,neutral,1.7062042563905644,-1.3374921953675845,,,,
