stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
000001.SZ,2022-03-31,3.206,12850000000.0,,92.0637,27.8096,147127000000.0,406175000000.0
000001.SZ,2022-06-30,5.4704,22088000000.0,,91.9335,24.003,150483000000.0,412098000000.0
000001.SZ,2022-09-30,8.9322,36659000000.0,,91.8119,26.5136,92518000000.0,425384000000.0
000001.SZ,2022-12-31,10.966,45516000000.0,,91.8316,25.3014,134572000000.0,434680000000.0
000001.SZ,2023-03-31,3.3133,14602000000.0,,91.8117,32.3784,109156000000.0,446745000000.0
000001.SZ,2023-06-30,5.7258,25387000000.0,,91.7813,28.6503,44241000000.0,452073000000.0
000001.SZ,2023-09-30,8.8025,39635000000.0,,91.555,31.0536,115930000000.0,465860000000.0
000001.SZ,2023-12-31,10.2436,46455000000.0,,91.5461,28.206,92461000000.0,472328000000.0
000001.SZ,2024-03-31,3.1176,14932000000.0,,91.5248,38.5143,-21382000000.0,485576000000.0
000001.SZ,2024-06-30,5.4242,25879000000.0,,91.6255,33.5516,113722000000.0,481869000000.0
000001.SZ,2024-09-30,8.2528,39729000000.0,,91.4641,35.6052,137158000000.0,490469000000.0
000001.SZ,2024-12-31,9.2038,44508000000.0,,91.4228,30.3405,63336000000.0,494842000000.0
000001.SZ,2025-03-31,2.8165,14096000000.0,,91.2405,41.8167,162946000000.0,506112000000.0
000001.SZ,2025-06-30,4.9497,24870000000.0,,91.318,35.8435,174682000000.0,510062000000.0
000001.SZ,2025-09-30,7.5711,38339000000.0,,91.0187,38.0846,71783000000.0,517930000000.0
000002.SZ,2022-03-31,0.6045,2787518052.06,18.8748,79.803,4.4481,-13259189892.38,393309709697.18
000002.SZ,2022-06-30,5.1991,18130910588.84,20.4649,79.1556,8.7624,8288020493.16,391708562002.6
000002.SZ,2022-09-30,7.1481,27286850129.28,19.6293,77.8477,8.0808,-4175709127.55,405968478784.61
000002.SZ,2022-12-31,9.4678,37612558798.7,19.5537,76.9237,7.4652,2750449478.44,405636829963.55
000002.SZ,2023-03-31,0.5909,2833713594.33,15.4473,77.1952,4.1384,7001300467.87,397505858255.52
000002.SZ,2023-06-30,4.0071,15168214330.75,18.8665,76.0928,7.5504,1864499635.13,402644482157.24
000002.SZ,2023-09-30,5.4899,21027345000.6,17.5806,75.2762,7.2431,235323600.88,407127393376.22
000002.SZ,2023-12-31,4.9231,20455558414.74,15.235,73.2243,4.3921,3912323920.11,402933530947.26
000002.SZ,2024-03-31,-0.1444,331290344.62,10.8216,72.707,0.5379,-9421419428.01,399533386477.65
000002.SZ,2024-06-30,-4.0013,-8520745012.81,8.1152,72.937,-5.9678,-5176325811.1,385057205367.08
000002.SZ,2024-09-30,-7.4008,-16398110547.69,9.5021,72.4164,-7.4573,-4847650023.78,374358441702.97
000002.SZ,2024-12-31,-21.823,-48703934402.33,10.1731,73.6558,-14.1921,3799847632.35,338854662483.74
000002.SZ,2025-03-31,-3.1278,-6415198525.25,6.1003,73.4756,-16.8845,-5792568806.59,329974412835.25
000002.SZ,2025-06-30,-6.0626,-10864982511.25,9.9681,73.1055,-10.3158,-3038704592.78,321160542961.06
000002.SZ,2025-09-30,-14.8067,-28236658916.01,9.5844,73.5147,-17.4961,-5889347829.66,301030072579.18
000063.SZ,2022-03-31,4.2134,2034655000.0,37.7804,69.1394,7.2848,1187207000.0,55315770000.0
000063.SZ,2022-06-30,8.5794,4546652000.0,37.0378,68.4448,7.6008,3499634000.0,56712550000.0
000063.SZ,2022-09-30,12.5375,6690245000.0,37.4258,67.7258,7.2281,3723015000.0,58468999000.0
000063.SZ,2022-12-31,14.675,7791610000.0,37.1901,67.0948,6.337,7577700000.0,59543223000.0
000063.SZ,2023-03-31,4.4109,2613789000.0,44.4947,66.3447,8.9689,2325584000.0,61923458000.0
000063.SZ,2023-06-30,8.9554,5392252000.0,43.2183,65.5745,8.8827,6425897000.0,64095796000.0
000063.SZ,2023-09-30,12.5546,7756815000.0,43.6714,64.6693,8.6772,9262015000.0,66795449000.0
000063.SZ,2023-12-31,14.7269,9240849000.0,41.4873,65.9972,7.4373,17405699000.0,68331445000.0
000063.SZ,2024-03-31,3.9474,2761185000.0,42.0217,65.8222,9.0299,2982601000.0,71249353000.0
000063.SZ,2024-06-30,8.2837,5710390000.0,40.4703,65.5679,9.1385,7000399000.0,70760698000.0
000063.SZ,2024-09-30,11.2688,7847061000.0,40.434,63.6266,8.7146,8049065000.0,72635576000.0
000063.SZ,2024-12-31,11.9656,8355613000.0,37.9127,64.7361,6.8885,11479844000.0,73110282000.0
000063.SZ,2025-03-31,3.3815,2464117000.0,34.2714,66.6994,7.4742,1851253000.0,72568154000.0
000063.SZ,2025-06-30,6.8509,5056583000.0,32.4509,65.2768,7.0669,1299408000.0,75109804000.0
000063.SZ,2025-09-30,7.1967,5344677000.0,30.5494,64.8822,5.317,1777478000.0,75383095000.0
000100.SZ,2022-03-31,3.1258,2345968751.0,12.2566,61.6077,5.7786,3863953881.0,121518826812.0
000100.SZ,2022-06-30,1.6158,1926716000.0,9.4641,63.9365,2.2785,9016636000.0,119138284000.0
000100.SZ,2022-09-30,0.6847,1951941609.0,9.1406,64.903,1.5421,12661888660.0,121790834714.0
000100.SZ,2022-12-31,0.5577,1788059000.0,8.7824,63.2944,1.0731,18426376000.0,132138753000.0
000100.SZ,2023-03-31,-1.0943,111356862.0,10.3581,63.6372,0.2822,4495356538.0,137959271432.0
000100.SZ,2023-06-30,0.6733,2390583000.0,12.779,63.382,2.8062,10416168000.0,139633306000.0
000100.SZ,2023-09-30,3.1287,5568444023.0,14.6239,62.7014,4.1816,16144013013.0,145170719498.0
000100.SZ,2023-12-31,4.2759,4780784000.0,14.2046,62.0576,2.7405,25314756000.0,145265973000.0
000100.SZ,2024-03-31,0.4502,-333605863.0,11.5288,62.8981,-0.8351,6596505932.0,145345286757.0
000100.SZ,2024-06-30,1.8904,-468149000.0,12.2649,63.8441,-0.583,12632722000.0,138236190000.0
000100.SZ,2024-09-30,2.8797,-1829006223.0,11.9824,65.3086,-1.4854,22000714536.0,136612959428.0
000100.SZ,2024-12-31,2.9487,-4156142000.0,11.5884,64.9166,-2.5194,29526571000.0,132703744061.0
