trade_date,close,day_chg,vol_ratio,mcap_yi,sector_chg,sector_rise,v1_pass,v2_pass,v2_reason,dragon_score,future_ret
2025-08-01,23.17,-0.0026,0.63,3099.3,-0.0058,0.128,0,0,,1.3,0.0269
2025-08-04,23.35,0.0078,0.54,3123.4,0.0007,0.511,0,0,,1.412,0.0034
2025-08-05,23.63,0.012,0.81,3160.8,0.0116,0.957,0,0,,2.244,-0.0161
2025-08-06,23.63,0.0,0.66,3160.8,0.0038,0.723,0,0,,1.832,0.0046
2025-08-07,23.54,-0.0038,0.99,3148.8,0.0031,0.553,0,0,,1.492,0.0226
2025-08-08,23.2,-0.0144,0.95,3103.3,-0.0084,0.085,0,0,,1.246,0.0609
2025-08-11,23.8,0.0259,1.93,3183.6,0.0128,0.936,0,0,,2.657,0.0244
2025-08-12,23.99,0.008,1.25,3209.0,0.0081,0.894,0,0,,2.152,0.1081
2025-08-13,24.58,0.0246,2.69,3287.9,0.0218,0.979,0,0,,3.155,0.133
2025-08-14,24.36,-0.009,1.74,3258.5,-0.0026,0.277,0,0,,1.458,0.1065
2025-08-15,26.76,0.0985,3.19,3579.5,0.0389,1.0,0,0,,3.838,0.0037
2025-08-18,27.85,0.0407,1.99,3725.3,0.012,0.83,0,0,,2.785,-0.0215
2025-08-19,26.9,-0.0341,0.85,3598.2,-0.0118,0.106,0,0,,1.029,0.0454
2025-08-20,27.08,0.0067,0.57,3622.3,0.0119,0.894,0,0,,2.157,0.0318
2025-08-21,26.8,-0.0103,0.45,3584.9,-0.0114,0.085,0,0,,1.186,0.0461
2025-08-22,27.85,0.0392,0.84,3725.3,0.0273,0.979,0,0,,3.152,-0.0378
2025-08-25,28.23,0.0136,1.1,3776.2,0.0105,0.787,0,0,,2.276,-0.0004
2025-08-26,27.93,-0.0106,0.66,3736.0,-0.009,0.085,0,0,,1.227,0.0347
2025-08-27,27.21,-0.0258,1.09,3639.7,-0.0254,0.043,0,0,,1.16,0.0567
2025-08-28,27.96,0.0276,0.99,3740.0,0.0182,1.0,0,0,,2.7,-0.0089
2025-08-29,28.91,0.034,1.42,3867.1,-0.0045,0.234,0,0,,1.824,-0.075
2025-09-01,28.69,-0.0076,0.77,3837.7,-0.0084,0.128,0,0,,1.278,-0.0823
2025-09-02,27.85,-0.0293,1.01,3725.3,-0.0091,0.128,0,0,,1.109,-0.0527
2025-09-03,26.63,-0.0438,0.98,3562.1,-0.0363,0.0,0,0,,0.958,-0.0049
2025-09-04,26.21,-0.0158,0.9,3506.0,0.0045,0.66,0,0,,1.622,-0.0049
2025-09-05,26.6,0.0149,0.61,3558.1,0.0059,0.915,0,0,,2.008,-0.008
2025-09-08,26.42,-0.0068,0.57,3534.0,-0.005,0.17,0,0,,1.247,0.0322
2025-09-09,26.19,-0.0087,0.61,3503.3,-0.0024,0.319,0,0,,1.235,0.0271
2025-09-10,26.19,0.0,0.55,3503.3,-0.0023,0.255,0,0,,1.311,0.0445
2025-09-11,27.27,0.0412,1.5,3647.7,0.0318,1.0,0,0,,3.413,0.0199
2025-09-12,26.95,-0.0117,1.05,3604.9,-0.0126,0.064,0,0,,1.293,0.0468
2025-09-15,27.21,0.0096,0.99,3639.7,-0.0036,0.17,0,0,,1.495,-0.0143
2025-09-16,27.71,0.0184,1.19,3706.6,0.0047,0.723,0,0,,2.122,-0.0384
2025-09-17,28.21,0.018,1.35,3773.5,0.0077,0.851,0,0,,2.258,-0.0362
2025-09-18,26.87,-0.0475,1.59,3594.2,-0.0309,0.021,0,0,,1.043,-0.0243
2025-09-19,26.55,-0.0119,0.69,3551.4,-0.0117,0.064,0,0,,1.219,-0.0038
2025-09-22,26.89,0.0128,0.53,3596.9,0.01,0.915,0,0,,2.134,-0.0038
2025-09-23,26.12,-0.0286,0.92,3493.9,-0.0171,0.043,0,0,,1.098,0.0023
