stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity
600051.SH,宁波联合,SW1综合,20250930,1.9835,-16.16,7.8513,23.671,2.7637,426352566.67,47.8735,9.694,43981037.04,890582136.89,0.216,10.929,0.9028,4.9385,1.5429,0.1828,4871375771.65,3718271149.59
688031.SH,星环科技-U,,20250930,-21.3956,19.06,47.4905,23.7571,3.7397,-185865807.89,-82.5782,0.8717,-213226329.76,225078512.67,-1.76,7.3839,-18.1753,-94.7342,3.4635,0.1919,1173166353.91,894455777.16
601222.SH,林洋能源,SW1电气设备,20250930,2.3017,-26.58,30.954,37.4086,3.0939,-307883313.32,-8.3804,-0.895,344002121.51,3673852835.05,0.18,7.5355,1.3817,9.3635,2.3317,0.1476,24896363729.57,15582990037.66
603335.SH,迪生力,SW1汽车,20250930,-16.2575,-0.58,11.8048,73.3953,0.6558,37160783.63,5.148,-0.5347,-69494123.13,721851981.84,-0.09,0.5054,-5.6479,-9.6272,0.3039,0.5867,1230444140.33,327355817.48
603341.SH,龙旗科技,,20250930,8.9459,,8.5938,78.9803,1.0931,915761720.57,2.9228,1.78,514483627.26,31331603280.29,1.1,12.2293,1.8841,1.6421,0.9849,1.1474,27306842951.71,5739829920.93
605090.SH,九丰能源,,20250930,12.5431,28.33,10.3777,32.3082,2.2059,1015438353.69,6.5058,0.81,1253564248.51,15608246247.16,1.93,15.4557,7.7833,8.0314,2.0138,0.9691,16105867118.5,10902355940.29
600025.SH,华能水电,SW1公用事业,20250930,9.7409,8.11,60.6751,61.2821,0.3104,14809317880.87,71.748,1.8153,8157998226.65,20640741087.21,0.4,3.8167,3.6229,39.5238,0.3089,0.0917,225177623040.64,87183945820.76
688045.SH,必易微,,20250930,-0.204,0.61,29.768,7.5086,11.7303,21524761.43,4.6642,-2.6383,-8158519.53,461487564.2,-0.04,19.8037,-0.563,-1.7679,10.2091,0.3185,1449119540.33,1340311236.98
603237.SH,五芳斋,,20250930,10.0434,-14.02,38.3557,26.4516,1.7956,255703241.91,12.8788,1.4587,175293847.87,1985451094.26,0.91,8.9541,7.2984,8.8289,1.4929,0.8266,2401806176.62,1766489063.09
600967.SH,内蒙一机,SW1国防军工,20250930,3.2946,-41.28,11.1284,44.1281,1.5411,-664055511.86,-8.4123,-1.7224,385539053.78,7893888613.67,0.227,6.9712,1.8106,4.884,1.2739,0.3707,21293432422.81,11897045087.37
