stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity
300502.SZ,新易盛,SW1通信,20250930,55.3742,312.26,47.247,31.992,2.4627,4637420688.24,28.0974,0.7329,6327092507.84,16504791211.36,6.37,14.6121,29.6263,38.3349,1.4793,0.7728,21356332939.88,14524006786.77
000752.SZ,ST西发,SW1食品饮料,20250930,38.5122,351.42,42.7305,16.6706,5.2658,101295339.23,31.1558,0.399,253851436.6,325125282.73,0.5494,2.3306,18.0324,78.078,5.0903,0.231,1407749892.87,1173069820.5
300573.SZ,兴齐眼药,SW1医药生物,20250930,34.7146,40.84,81.3277,23.2356,1.8957,574520184.3,30.1787,0.9593,598906386.15,1903728804.18,2.44,7.57,24.7536,31.4596,1.5508,0.7868,2419471906.33,1857292572.32
300394.SZ,天孚通信,SW1通信,20250930,33.0869,83.98,51.8674,16.4521,4.535,1344182030.69,34.3043,0.9171,1465672659.77,3918403111.99,1.8863,6.2747,25.0687,37.4048,4.1753,0.6702,5846616056.67,4884724032.3
300308.SZ,中际旭创,SW1通信,20250930,31.3331,143.33,40.7411,29.4734,2.9094,5454821227.43,21.8151,0.7206,7569731091.52,25004800851.32,6.48,23.7503,19.0548,30.2731,1.7122,0.6294,39726194819.53,28017524690.92
002847.SZ,盐津铺子,SW1食品饮料,20250930,31.2394,24.78,30.3221,46.6719,0.9784,619032320.97,13.983,1.0298,601099301.16,4427028634.0,2.24,7.8304,14.7959,13.5779,0.4728,1.0897,4062613752.12,2166515037.41
600809.SH,山西汾酒,SW1食品饮料,20250930,31.0185,17.16,76.0997,27.9976,2.9324,8982107362.78,27.281,0.7845,11450125486.02,32924416755.68,9.35,31.7877,20.9898,34.777,2.0729,0.6036,54550849056.82,39277907630.62
688578.SH,艾力斯,SW1医药生物,20250930,27.4288,121.97,96.7918,10.4766,5.3863,1730339665.78,46.3523,1.0709,1615776618.13,3733017652.99,3.59,14.4418,22.2579,43.2834,5.3352,0.5142,7259340818.95,6498806389.92
300476.SZ,胜宏科技,SW1电子,20250930,26.9289,71.96,35.8519,50.4409,1.1864,2383398963.0,16.8828,0.7345,3244826449.42,14117292798.89,3.78,17.586,10.5997,22.9848,0.942,0.4612,30612476407.28,15171274574.05
600519.SH,贵州茅台,SW1食品饮料,20250930,26.3688,15.24,91.2934,12.8088,6.6193,38196802155.27,29.1793,0.571,66898804746.17,130903889634.88,51.53,205.2831,21.9529,51.1053,5.1783,0.4296,304738184929.86,265705024872.85
603699.SH,纽威股份,SW1机械设备,20250930,26.2089,58.77,36.9286,58.0507,1.4572,1673188877.61,29.8617,1.4857,1126187623.19,5603131509.95,1.44,5.3852,11.031,20.0993,0.9942,0.5488,10209273962.14,4282719518.88
600329.SH,达仁堂,SW1医药生物,20250930,25.5407,128.68,74.983,22.1064,2.8131,590329947.27,16.0859,0.2751,2146216262.92,3669861317.0,2.8,11.699,18.5256,58.4822,2.3264,0.3168,11585156807.98,9024097257.72
605117.SH,德业股份,,20250930,24.9846,65.29,38.5467,56.5082,1.3911,2662052664.46,30.0919,1.1349,2345544142.51,8846410281.97,2.6,10.2812,10.9313,26.5141,1.2683,0.4123,21457212466.68,9332124019.3
688278.SH,特宝生物,SW1医药生物,20250930,23.9502,49.0,92.5579,20.5213,3.843,471118206.7,19.0002,0.7073,666123781.87,2479547947.46,1.64,7.3974,17.5932,26.8647,3.1987,0.6549,3786248215.19,3009259926.15
001337.SZ,四川黄金,,20250930,23.1395,17.67,64.1119,23.9828,3.0897,402477109.79,51.0443,1.0904,369108730.87,788485453.94,0.88,4.1231,16.2031,46.8124,2.7922,0.3461,2278017457.04,1731684643.25
688617.SH,惠泰医疗,SW1医药生物,20250930,22.6443,26.05,73.1887,12.2373,5.3819,676059199.46,36.2025,1.0996,614819029.79,1867437461.29,4.42,21.1952,17.7655,32.9231,4.1054,0.5396,3460753039.96,3037250313.91
300641.SZ,正丹股份,SW1化工,20250930,22.644,11949.3,43.4736,2.2521,35.7674,988985788.36,52.2027,1.4656,674804748.77,1894509733.24,1.2841,5.9338,20.8668,35.619,33.4243,0.5858,3233862822.09,3161033694.65
603379.SH,三美股份,SW1化工,20250930,22.6397,177.08,50.7298,17.4323,4.8291,1560924441.39,35.2429,0.9879,1580044198.37,4429051151.22,2.6,12.4711,16.888,35.6746,4.325,0.4734,9356029055.49,7725053789.2
605098.SH,行动教育,,20250930,22.3031,23.24,78.5369,55.3734,1.6377,155569704.93,27.4952,0.7164,217154472.62,565807319.93,1.8,8.0916,9.9769,38.3796,1.6361,0.26,2176577103.93,971332463.76
300628.SZ,亿联网络,SW1通信,20250930,22.2237,31.72,63.9456,11.3367,7.463,1459675269.72,33.9591,0.7454,1958115335.46,4298336791.76,1.549,6.8477,20.0148,45.5552,6.3602,0.4394,9783329540.81,8674225657.77
002463.SZ,沪电股份,SW1电子,20250930,21.0767,72.29,35.4028,46.7808,1.3968,2895195011.0,21.4262,1.067,2713321370.0,13512390231.0,1.4134,7.2476,10.3111,20.0802,1.062,0.5135,26314612654.0,14004421534.0
601020.SH,华钰矿业,SW1有色金属,20250930,20.9542,729.74,51.0184,38.11,0.4637,662875886.84,45.4196,0.7497,884242978.44,1459450432.29,0.98,5.2172,8.5251,60.5874,0.2787,0.1407,10372192333.89,6419351508.52
