stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity,roe_industry_pct,netprofit_yoy_industry_pct,grossprofit_margin_industry_pct,ocf_to_revenue_industry_pct,debt_to_assets_industry_pct,roe_industry_score,netprofit_yoy_industry_score,grossprofit_margin_industry_score,debt_to_assets_industry_score,ocf_to_revenue_industry_score,industry_score
301568.SZ,思泰克,SW1机械设备,20260331,2.504,44.56,50.8793,12.4083,6.1325,28458377.59,25.314,1.0766,26434195.01,112421522.86,0.2577,10.3517,2.1662,23.5135,4.6977,0.0921,1220323168.27,1068901508.67,0.8113207547169812,0.8287937743190662,0.9454887218045113,0.9116541353383458,0.9379699248120301,5.0,5.0,5.0,5.0,5.0,25.0
000792.SZ,盐湖股份,SW1基础化工,20260331,6.6542,82.06,68.7225,15.8486,5.5881,3085047416.7,47.9644,0.884,3489720271.23,6431955107.5,0.572,8.4464,5.9753,54.256,5.4001,0.1101,58402519710.25,49146564782.48,0.9901960784313726,0.8585858585858586,1.0,0.9901960784313726,0.8553921568627451,5.0,5.0,5.0,5.0,5.0,25.0
002128.SZ,电投能源,SW1煤炭,20260331,5.1374,11.22,46.5209,22.9248,1.5506,2697053881.05,32.0572,1.034,2608371413.73,8413266224.26,0.89,17.7125,4.3966,31.0031,1.3505,0.1418,59326720362.09,45726202055.44,1.0,0.8333333333333334,1.0,0.8918918918918919,0.9459459459459459,5.0,5.0,5.0,5.0,5.0,25.0
001316.SZ,润贝航科,SW1石油石化,20260331,4.5291,114.44,30.4362,16.0642,5.7485,193977299.03,64.987,3.2098,60432682.09,298486255.74,0.5304,11.8492,3.7082,20.2464,4.8056,0.1832,1629712357.39,1367912272.88,0.8297872340425532,0.9130434782608695,0.851063829787234,1.0,0.8936170212765957,5.0,5.0,5.0,5.0,5.0,25.0
000612.SZ,焦作万方,SW1有色金属,20260331,6.857,81.95,36.437,15.0299,2.9477,332421519.55,18.9235,0.6509,510739130.7,1756656157.11,0.428,6.4638,5.6315,29.0745,2.3597,0.1937,9069289570.9,7706182646.47,0.8129496402877698,0.8484848484848485,0.8273381294964028,0.8129496402877698,0.9424460431654677,5.0,5.0,5.0,5.0,5.0,25.0
300685.SZ,艾德生物,SW1医药生物,20260331,4.1403,41.74,82.4591,14.1561,15.1416,107287957.23,41.2097,1.2599,85156924.42,260346165.81,0.22,5.2552,3.5528,32.7091,14.8116,0.1086,2396912321.94,2057602564.79,0.899581589958159,0.815668202764977,0.9372384937238494,0.9497907949790795,0.7745302713987474,5.0,5.0,5.0,4.0,5.0,24.0
300573.SZ,兴齐眼药,SW1医药生物,20260331,9.9163,105.84,82.0522,20.5104,2.2344,208447399.44,30.5043,1.0098,206414274.49,683337441.58,0.84,8.8671,7.5089,30.2068,1.8094,0.2486,2748919887.38,2185104695.55,0.9895397489539749,0.9216589861751152,0.9288702928870293,0.9016736401673641,0.6242171189979123,5.0,5.0,5.0,4.0,5.0,24.0
301109.SZ,军信股份,SW1环保,20260331,2.8402,44.85,56.8333,34.9369,5.1959,235751273.63,31.8415,0.7733,304874502.31,740390833.61,0.2793,9.7819,2.0605,41.1775,5.1553,0.05,14796334738.81,9626960286.46,0.8549618320610687,0.8208955223880597,0.9624060150375939,0.924812030075188,0.7969924812030076,5.0,5.0,5.0,4.0,5.0,24.0
002558.SZ,巨人网络,SW1传媒,20260331,6.8145,23.58,95.3777,19.8603,1.9862,1321579325.51,56.7563,1.1335,1165928106.2,2328514124.66,0.57,8.5847,5.6894,50.0718,,0.1136,20493015726.03,16423031344.85,0.9692307692307692,0.7647058823529411,1.0,0.9615384615384616,0.8,5.0,4.0,5.0,5.0,5.0,24.0
002487.SZ,大金重工,SW1电力设备,20260331,5.1174,132.82,39.1904,37.1145,2.0021,437535231.5,22.9442,1.0067,434638000.75,1906951849.38,0.68,13.6516,3.1394,22.7923,1.4762,0.1377,13844694509.92,8706302382.65,0.93646408839779,0.9257142857142857,0.9342465753424658,0.9315068493150684,0.7123287671232876,5.0,5.0,5.0,4.0,5.0,24.0
002518.SZ,科士达,SW1电力设备,20260331,2.8287,55.92,29.7124,37.4525,1.7419,112998868.76,9.1107,0.7989,141434506.97,1240294080.12,0.24,8.546,1.7462,11.4033,1.3344,0.1531,8099622762.89,5066113618.21,0.8480662983425414,0.8114285714285714,0.8136986301369863,0.8082191780821918,0.7068493150684931,5.0,5.0,5.0,4.0,5.0,24.0
301538.SZ,骏鼎达,SW1基础化工,20260331,2.4628,10.87,38.1907,14.1779,5.468,42021695.75,18.5969,1.1761,35728250.16,225961211.93,0.4557,18.7619,2.0846,15.8117,4.6356,0.1318,1713929409.06,1470930800.64,0.8112745098039216,0.6212121212121212,0.928921568627451,0.8529411764705882,0.8799019607843137,5.0,4.0,5.0,5.0,5.0,24.0
301289.SZ,国缆检测,SW1社会服务,20260331,2.4695,12.34,58.0553,19.1299,5.3349,25321371.58,28.3233,0.9109,27798341.43,89401074.82,0.3256,13.2665,2.0032,31.094,5.266,0.0644,1387680095.85,1122217692.03,0.8354430379746836,0.8260869565217391,0.8765432098765432,0.8024691358024691,0.7407407407407407,5.0,5.0,5.0,4.0,5.0,24.0
002546.SZ,新联电子,SW1电力设备,20260331,2.374,118.48,40.9388,8.4926,12.736,14805788.11,7.5173,0.1619,91429431.29,196956464.9,0.11,4.6583,2.1354,46.4211,12.3544,0.046,4281638929.02,3918016149.9,0.8038674033149171,0.9142857142857143,0.9534246575342465,0.7780821917808219,0.9863013698630136,5.0,5.0,5.0,5.0,4.0,24.0
300684.SZ,中石科技,SW1电子,20260331,2.9357,68.37,33.9997,14.8269,4.8473,164232473.49,42.2068,2.6298,62451627.26,389113711.14,0.2182,7.4482,2.3584,16.0497,4.2906,0.1469,2648075989.79,2255448649.08,0.8535564853556485,0.8341463414634146,0.7405857740585774,0.9686192468619247,0.8451882845188284,5.0,5.0,4.0,5.0,5.0,24.0
001337.SZ,四川黄金,SW1有色金属,20260331,13.5072,87.69,69.5405,38.3295,2.3554,432126434.79,89.8823,1.6276,265502177.41,480769185.83,0.63,5.0058,7.7879,55.2245,2.0701,0.141,3409175487.47,2102456514.69,0.9568345323741008,0.8787878787878788,0.9784172661870504,0.9928057553956835,0.6762589928057554,5.0,5.0,5.0,4.0,5.0,24.0
301345.SZ,涛涛车业,SW1汽车,20260331,4.7654,89.29,40.902,37.2157,2.0252,254993931.21,24.0791,1.4463,176303473.69,1058983223.36,1.62,34.6515,2.9293,16.6484,1.1511,0.1759,6018684472.66,3778786761.03,0.971830985915493,0.8347826086956521,0.9894736842105263,0.9192982456140351,0.6385964912280702,5.0,5.0,5.0,4.0,5.0,24.0
300247.SZ,融捷健康,SW1家用电器,20260331,2.0684,63.71,35.6155,15.3164,8.0171,35647229.39,14.8615,0.9785,36430717.97,239862774.58,0.0295,1.4387,2.4145,15.1881,6.4948,0.159,1508826369.1,1277728956.13,0.6451612903225806,0.9423076923076923,0.851063829787234,0.8297872340425532,0.925531914893617,4.0,5.0,5.0,5.0,5.0,24.0
002033.SZ,丽江股份,SW1社会服务,20260331,2.5706,1.12,60.9564,7.3212,4.9386,64223327.82,31.9897,0.8536,75239768.84,200762511.61,0.1213,4.7784,2.4215,37.477,4.8473,0.0646,3107144652.96,2879663915.16,0.8607594936708861,0.6086956521739131,0.9012345679012346,0.8518518518518519,0.9506172839506173,5.0,4.0,5.0,5.0,5.0,24.0
300113.SZ,顺网科技,SW1传媒,20260331,3.1012,59.31,69.0031,12.856,3.6576,15493734.73,5.4443,0.1759,88081961.65,284584509.08,0.12,3.8526,2.8461,30.9511,3.641,0.092,3094828550.94,2696957928.46,0.8538461538461538,0.8235294117647058,0.9307692307692308,0.7,0.9153846153846154,5.0,5.0,5.0,5.0,4.0,24.0
000975.SZ,山金国际,SW1有色金属,20260331,8.9473,34.49,40.6678,22.6432,2.9128,2489948596.15,41.9321,1.6124,1544249876.3,5938046889.89,0.5023,5.8481,6.545,26.006,2.5782,0.2517,23594421919.67,18251890335.85,0.8920863309352518,0.7121212121212122,0.8561151079136691,0.9568345323741008,0.8920863309352518,5.0,4.0,5.0,5.0,5.0,24.0
300458.SZ,全志科技,SW1电子,20260331,6.3107,57.2,40.2106,18.7323,3.9661,175601874.37,19.2555,0.8649,203030428.89,911959280.39,0.25,4.022,4.97,22.2631,2.6178,0.2232,4085109255.35,3319873103.83,0.9497907949790795,0.8146341463414634,0.8347280334728033,0.8096234309623431,0.7761506276150627,5.0,5.0,5.0,4.0,5.0,24.0
301029.SZ,怡合达,SW1机械设备,20260331,2.9167,26.6,39.0233,14.0801,5.086,94498266.55,12.6616,0.7319,129113676.92,746334773.93,0.2,7.0875,2.468,17.2997,4.259,0.1427,5231483716.03,4494885302.06,0.8566037735849057,0.7392996108949417,0.8082706766917294,0.8026315789473685,0.9116541353383458,5.0,4.0,5.0,5.0,5.0,24.0
001216.SZ,华瓷股份,SW1轻工制造,20260331,2.3489,6.84,34.3196,18.3383,3.2156,73081867.42,24.2241,1.6873,43313001.69,301690251.6,0.1736,7.4829,1.8702,14.3568,2.749,0.1303,2315929965.72,1891227493.21,0.8089171974522293,0.6582278481012658,0.8670886075949367,0.9620253164556962,0.8670886075949367,5.0,4.0,5.0,5.0,5.0,24.0
301566.SZ,达利凯普,SW1电子,20260331,3.6029,39.88,67.6235,4.4902,38.7354,21094958.67,18.3702,0.3911,53932797.47,114832631.05,0.13,3.8072,3.3736,46.9664,35.3171,0.0718,1598684409.71,1526900252.95,0.8849372384937239,0.775609756097561,0.9853556485355649,0.799163179916318,0.9790794979079498,5.0,4.0,5.0,5.0,4.0,23.0
002270.SZ,华明装备,SW1电力设备,20260331,5.2055,16.11,53.2465,37.1784,2.3056,92367764.55,17.4189,0.5633,163966675.85,530271786.47,0.1825,3.4829,3.2705,30.9213,1.9754,0.1058,5013571873.28,3149605078.05,0.9419889502762431,0.6514285714285715,0.989041095890411,0.8931506849315068,0.7095890410958905,5.0,4.0,5.0,4.0,5.0,23.0
002372.SZ,伟星新材,SW1建筑材料,20260331,2.4174,-23.51,41.4025,21.5933,3.048,122826862.22,15.1135,1.0252,119810585.56,812693830.31,0.08,3.1404,1.8599,14.7424,2.3809,0.1262,6441852285.81,5050845070.68,0.8714285714285714,0.5609756097560976,0.9861111111111112,0.8888888888888888,0.8611111111111112,5.0,3.0,5.0,5.0,5.0,23.0
