date,open,high,low,close,volume
2024-01-02,1580.66,1583.85,1543.76,1550.67,32156
2024-01-03,1546.77,1560.88,1541.99,1559.66,20229
2024-01-04,1558.66,1558.66,1528.59,1534.66,21551
2024-01-05,1526.99,1544.32,1517.77,1529.02,20243
2024-01-08,1526.66,1527.66,1505.67,1509.65,25586
2024-01-09,1506.67,1517.98,1500.73,1506.66,24412
2024-01-10,1506.76,1525.12,1503.66,1507.16,17351
2024-01-11,1505.76,1523.6,1503.72,1512.23,16441
2024-01-12,1505.63,1516.92,1505.06,1508.72,11603
2024-01-15,1500.66,1520.63,1500.11,1505.66,17854
2024-01-16,1504.16,1512.66,1490.6,1505.09,25903
2024-01-17,1495.66,1501.14,1442.66,1442.66,51633
2024-01-18,1439.66,1478.46,1421.21,1476.53,60440
2024-01-19,1474.53,1503.67,1466.54,1500.66,46378
2024-01-22,1494.66,1508.66,1484.54,1507.66,46946
2024-01-23,1497.67,1505.61,1474.66,1484.66,34835
2024-01-24,1494.66,1499.5,1469.22,1491.66,33216
2024-01-25,1492.48,1506.66,1487.66,1503.66,31206
2024-01-26,1496.02,1509.76,1488.66,1502.98,26955
2024-01-29,1505.96,1526.24,1505.95,1515.66,31421
2024-01-30,1515.64,1515.64,1475.66,1478.66,30866
2024-01-31,1478.66,1485.63,1463.79,1470.57,29649
2024-02-01,1471.16,1489.55,1466.66,1475.69,26485
2024-02-02,1480.66,1493.44,1446.66,1461.66,39382
2024-02-05,1461.66,1503.1,1460.91,1495.67,53130
2024-02-06,1495.67,1551.14,1491.76,1541.66,52472
2024-02-07,1546.69,1580.25,1527.27,1576.65,52601
2024-02-08,1585.67,1590.66,1550.66,1571.66,46757
2024-02-19,1603.53,1603.59,1553.66,1561.09,36977
2024-02-20,1563.02,1563.02,1522.22,1535.66,34470
2024-02-21,1531.68,1596.66,1527.66,1583.32,46154
2024-02-22,1573.16,1588.67,1566.19,1584.04,22794
2024-02-23,1576.77,1590.04,1565.68,1579.75,27306
2024-02-26,1573.66,1574.4,1550.68,1560.64,27318
2024-02-27,1548.66,1558.58,1543.66,1555.16,22080
2024-02-28,1554.58,1562.23,1539.67,1547.21,31867
2024-02-29,1547.21,1562.16,1544.86,1560.66,24758
2024-03-01,1555.66,1560.63,1542.34,1550.72,26868
2024-03-04,1544.66,1546.65,1535.71,1541.96,26485
2024-03-05,1536.47,1562.66,1532.34,1560.76,36238
2024-03-06,1556.66,1560.66,1543.68,1546.21,22142
2024-03-07,1545.66,1555.46,1543.66,1549.29,21599
2024-03-08,1546.22,1552.34,1535.71,1537.09,22156
2024-03-11,1540.66,1564.54,1538.84,1560.15,29895
2024-03-12,1559.6,1614.76,1556.16,1610.66,54227
2024-03-13,1605.63,1613.66,1585.76,1593.11,26500
2024-03-14,1584.66,1600.5,1577.16,1582.29,19405
2024-03-15,1578.16,1598.06,1577.66,1583.15,17834
2024-03-18,1580.66,1585.51,1564.66,1573.92,26055
2024-03-19,1568.66,1585.6,1558.77,1573.68,23948
2024-03-20,1569.02,1579.34,1565.89,1575.26,15249
2024-03-21,1573.76,1584.66,1570.16,1574.66,16596
2024-03-22,1570.69,1574.65,1553.66,1567.01,25456
2024-03-25,1564.2,1564.43,1546.24,1554.67,24473
2024-03-26,1553.12,1578.46,1553.12,1574.95,28069
2024-03-27,1570.66,1577.66,1564.66,1566.66,18113
2024-03-28,1560.66,1583.66,1558.86,1567.3,24642
2024-03-29,1567.3,1576.65,1563.76,1568.56,13457
2024-04-01,1575.65,1599.66,1574.36,1586.99,27131
2024-04-02,1587.66,1590.65,1570.71,1579.65,25449
2024-04-03,1599.66,1605.1,1575.68,1580.77,29046
2024-04-08,1560.66,1561.66,1528.26,1532.32,59167
2024-04-09,1526.33,1538.66,1524.11,1527.88,25590
2024-04-10,1527.93,1530.65,1510.66,1513.64,27631
2024-04-11,1505.77,1515.66,1500.35,1513.66,22766
2024-04-12,1516.66,1529.66,1499.69,1499.69,26744
2024-04-15,1500.67,1541.27,1500.64,1538.64,35818
2024-04-16,1531.15,1545.22,1524.66,1535.66,26266
2024-04-17,1533.66,1540.86,1523.66,1532.66,24819
2024-04-18,1524.67,1548.64,1523.84,1536.44,26568
2024-04-19,1526.44,1534.16,1506.94,1512.3,23500
2024-04-22,1519.66,1544.54,1510.66,1540.72,29951
2024-04-23,1540.66,1560.66,1540.66,1557.94,24980
2024-04-24,1562.64,1565.57,1548.99,1559.26,17086
2024-04-25,1555.99,1561.26,1547.91,1558.7,14476
2024-04-26,1559.66,1579.66,1559.64,1575.09,30996
2024-04-29,1562.61,1593.66,1559.48,1569.66,41332
2024-04-30,1570.67,1595.54,1570.66,1570.66,30760
2024-05-06,1599.63,1630.66,1592.66,1625.86,59909
2024-05-07,1631.45,1643.46,1622.34,1635.66,24925
2024-05-08,1635.35,1635.63,1621.33,1629.63,14769
2024-05-09,1623.66,1630.64,1615.66,1621.66,22387
2024-05-10,1626.76,1633.54,1599.65,1604.64,26207
2024-05-13,1597.68,1598.32,1566.88,1571.66,37662
2024-05-14,1571.65,1578.93,1565.67,1567.64,21274
2024-05-15,1568.24,1573.66,1564.25,1565.66,15739
2024-05-16,1570.66,1575.54,1555.66,1570.16,29680
2024-05-17,1565.67,1582.24,1565.66,1580.66,28924
2024-05-20,1583.65,1598.65,1573.77,1574.66,31426
2024-05-21,1573.66,1575.39,1563.82,1570.66,16293
2024-05-22,1568.66,1575.62,1556.66,1563.37,20286
2024-05-23,1565.66,1572.04,1555.74,1557.67,18885
2024-05-24,1558.66,1560.66,1542.66,1542.74,20217
2024-05-27,1543.66,1553.11,1533.67,1535.78,25098
2024-05-28,1536.06,1540.83,1528.66,1530.3,23521
2024-05-29,1531.66,1545.66,1530.66,1539.66,19651
2024-05-30,1540.66,1541.04,1514.66,1514.66,32208
2024-05-31,1516.16,1529.16,1514.11,1514.11,21857
2024-06-03,1515.66,1516.58,1500.77,1505.05,30261
2024-06-04,1506.16,1521.66,1502.21,1518.86,20841
2024-06-05,1517.66,1524.34,1508.69,1509.66,19056
2024-06-06,1509.32,1517.65,1501.57,1505.47,25610
2024-06-07,1511.79,1511.84,1484.67,1484.84,33525
2024-06-11,1468.65,1470.66,1432.66,1434.66,70247
2024-06-12,1435.66,1455.66,1435.66,1437.34,33171
2024-06-13,1442.43,1442.55,1418.81,1420.67,36186
2024-06-14,1420.66,1429.62,1386.12,1420.66,59514
2024-06-17,1397.95,1414.43,1376.67,1407.16,48318
2024-06-18,1396.55,1420.2,1382.34,1387.16,41258
2024-06-19,1394.53,1400.54,1378.64,1397.54,41262
2024-06-20,1396.54,1412.55,1394.54,1396.64,24711
2024-06-21,1397.04,1401.52,1366.76,1367.54,43320
