end_date,eps,bps,ocfps,roe,grossprofit_margin,debt_to_assets,net_profit,netprofit_yoy,netprofit_qoq,industry,ann_date
20201231,37.17,128.421443730884,41.13131601809,31.41,91.4091884819,21.4039475814,46697285429.81,13.33,14.6518,酿酒行业,2022-03-31
20211231,41.76,150.883379032578,50.970218342501,29.89,91.5402912604,22.8126739769,52460144378.16,12.34,20.4705,酿酒行业,2023-03-31
20220331,13.73,164.610215830063,-5.473707320447,8.7,92.3676761984,,17244968587.32,23.58,13.4988,酿酒行业,2023-04-26
20220630,23.72,152.92421395582,-0.008887088721,14.57,92.1091025759,17.2578159355,29793908077.83,20.85,-27.2313,酿酒行业,2023-08-03
20220930,35.34,164.551135967903,7.487146537552,21.91,91.8743753793,13.8483911237,44399815583.54,19.14,16.3916,酿酒行业,2023-10-21
20221231,49.93,157.204574979721,29.214026509225,30.26,91.8666548564,19.4744927128,62717467870.12,19.55,25.4056,酿酒行业,2024-04-03
20230331,16.55,173.759014147788,4.17513571026,10.0,92.5955758567,12.3561716369,20794882754.55,20.59,13.5301,酿酒行业,2024-04-27
20230630,28.64,159.939870909701,24.189803703652,16.7,91.7980815598,13.3924722132,35980415090.77,20.76,-26.9747,酿酒行业,2024-08-09
20230930,42.09,173.387204504975,39.80424660723,24.82,91.7074711036,14.1400070778,52876217064.12,19.09,11.2625,酿酒行业,2024-10-26
20231231,59.49,171.683608749697,53.011753181776,34.19,91.9649372414,17.9843241392,74734071550.75,19.16,29.3686,酿酒行业,2025-04-03
20240630,33.19,173.997764205717,29.152919876655,17.63,91.7602847624,18.3241837277,41695610983.37,15.88,-26.7394,酿酒行业,2025-08-13
20240930,48.42,189.229319618519,35.36177679777,26.09,91.5313752514,13.6285037456,60827552118.51,15.04,8.5171,酿酒行业,2025-10-30
20241231,68.64,185.564713136315,73.605997533533,36.02,91.9312166361,19.0447556579,86228146421.62,15.38,32.7654,酿酒行业,2025-04-03
