ts_code,ann_date,end_date,eps,dt_eps,bps,ocfps,undist_profit_ps,total_revenue_ps,roe,roe_waa,roe_dt,roa,grossprofit_margin,netprofit_margin,profit_to_gr,op_of_gr,ebit_of_gr,debt_to_assets,current_ratio,quick_ratio,cash_ratio,netprofit_yoy,dt_netprofit_yoy,or_yoy,op_yoy,ocf_yoy,bps_yoy,assets_yoy,eqt_yoy,assets_turn,inv_turn,ar_turn,ca_turn,fa_turn,invturn_days,arturn_days,fcff,fcfe,salescash_to_or,ocf_to_or,ocf_to_opincome,op_income,ebit,ebitda
600519.SH,20121026,20120930,10.04,10.04,30.1098,7.28,24.8585,19.1984,37.0487,36.16,37.3085,38.754,91.8276,54.878,54.878,73.6891,71.6847,17.6216,4.613,3.4574,2.8762,58.6227,59.6757,46.1027,58.2274,-16.2333,25.08,11.2719,25.0817,0.5406,0.2161,9773.048,0.672,3.5388,1249.4216,0.0276,1871905835.0087,1871905835.0087,0.9948,0.3794,0.5149,14684190172.03,14287791468.48,
600519.SH,20130329,20121231,12.82,12.82,32.8938,11.4829,27.6446,25.4824,45.0047,45.0,45.3202,45.755,92.2726,52.9513,52.9513,71.1794,69.0935,21.2101,3.8026,2.788,2.3814,51.8642,52.9,43.7606,52.6466,17.4679,36.647,28.9315,36.6468,0.6622,0.2426,2639.7862,0.826,4.3251,1483.9242,0.1364,5468793596.3578,5468793596.3578,1.0929,0.4506,0.6332,18827636567.65,18278911356.6,18713713170.69
600519.SH,20130329,20121231,12.82,12.82,32.8938,11.4829,27.6446,25.4824,45.0047,45.0,45.3202,45.755,92.2726,52.9513,52.9513,71.1794,69.0935,21.2101,3.8026,2.788,2.3814,51.8642,52.9,43.7606,52.6466,17.4679,36.647,28.9315,36.6468,0.6622,0.2426,2639.7862,0.826,4.3251,1483.9242,0.1364,5468793596.3578,5468793596.3578,1.0929,0.4506,0.6332,18827636567.65,18278911356.6,18713713170.69
600519.SH,20130418,20130331,3.46,3.46,36.3547,0.76,31.1056,6.9023,9.9958,10.0,10.4958,11.0085,93.2859,52.6581,52.6581,74.942,69.823,15.9177,5.0565,3.6729,3.0304,21.0117,27.1248,19.1128,28.6883,-41.0057,10.52,2.009,10.5216,0.1577,0.0487,747.8872,0.1961,1.0392,1848.0493,0.1203,-445369781.2666,-445369781.2666,0.8597,0.1103,0.1472,5370179720.15,5003369013.69,
600519.SH,20130418,20130331,3.46,3.46,36.3547,0.76,31.1056,6.9023,9.9958,10.0,10.4958,11.0085,93.2859,52.6581,52.6581,74.942,69.823,15.9177,5.0565,3.6729,3.0304,21.0117,27.1248,19.1128,28.6883,-41.0057,10.52,2.009,10.5216,0.1577,0.0487,747.8872,0.1961,1.0392,1848.0493,0.1203,-445369781.2666,-445369781.2666,0.8597,0.1103,0.1472,5370179720.15,5003369013.69,
600519.SH,20130831,20130630,6.98,6.98,33.4562,5.0232,27.0654,13.6175,21.0442,19.19,21.6097,22.3113,93.3991,53.9424,53.9059,73.5476,69.928,17.9768,4.433,3.1115,2.4007,3.6054,6.39,6.5094,6.1028,16.9364,1.7097,-3.0612,1.7097,0.3191,0.0932,1507.3447,0.3988,2.0409,1931.3305,0.1194,1436528318.2347,1436528318.2347,0.8465,0.3691,0.5017,10394736420.82,9886023908.1,10153355130.96
600519.SH,20130831,20130630,6.98,6.98,33.4562,5.0232,27.0654,13.6175,21.0442,19.19,21.6097,22.3113,93.3991,53.9424,53.9059,73.5476,69.928,17.9768,4.433,3.1115,2.4007,3.6054,6.39,6.5094,6.1028,16.9364,1.7097,-3.0612,1.7097,0.3191,0.0932,1507.3447,0.3988,2.0409,1931.3305,0.1194,1436528318.2347,1436528318.2347,0.8465,0.3691,0.5017,10394736420.82,9886023908.1,10153355130.96
600519.SH,20131016,20130930,10.66,10.66,37.133,8.9051,30.7422,21.1932,30.4543,29.55,31.1315,32.509,93.4314,53.1652,53.0042,72.7794,69.645,19.1866,4.2221,3.0896,2.3993,6.2393,7.85,10.0558,9.0276,22.2646,12.8875,9.5031,12.8877,0.4668,0.1416,2340.3813,0.5785,3.1492,1906.7797,0.1154,3958903906.3809,3958903906.3809,1.0157,0.4215,0.5775,16010199542.84,15323560328.97,
600519.SH,20131016,20130930,10.66,10.66,37.133,8.9051,30.7422,21.1932,30.4543,29.55,31.1315,32.509,93.4314,53.1652,53.0042,72.7794,69.645,19.1866,4.2221,3.0896,2.3993,6.2393,7.85,10.0558,9.0276,22.2646,12.8875,9.5031,12.8877,0.4668,0.1416,2340.3813,0.5785,3.1492,1906.7797,0.1154,3958903906.3809,3958903906.3809,1.0157,0.4215,0.5775,16010199542.84,15323560328.97,
600519.SH,20140325,20131231,14.58,14.58,41.0547,12.1896,34.652,29.9279,39.4328,39.43,40.2531,41.8165,92.9049,51.6299,51.3827,70.1356,67.5972,20.4224,3.7084,2.6615,2.2808,13.7402,15.3,16.883,15.7233,6.1546,24.8098,23.2364,24.8101,0.6186,0.2041,3299.1401,0.7951,4.0534,1763.8413,0.1091,10259228310.4841,10259228310.4841,1.0748,0.4093,0.5808,21788534952.0,21002851065.11,21559148574.2
