信号等级,代码,名称,类型,收盘价,涨跌幅%,量比,K线形态,MACD,背离前价,背离近价,背离前MACD,背离近MACD,背离间距日
A-双重共振,002728.SZ,002728.SZ,个股,9.16,4.09,3.55,三外部上涨,-0.0977,8.03,7.97,-0.4688,-0.4127,4
A-双重共振,920753.BJ,920753.BJ,个股,19.12,4.48,3.23,看涨吞没,0.0414,15.25,14.8,-0.8016,-0.7087,5
A-双重共振,002370.SZ,002370.SZ,个股,5.47,1.86,2.08,三外部上涨,-0.2207,5.19,4.88,-0.3369,-0.2853,10
A-双重共振,002726.SZ,002726.SZ,个股,1.18,-4.84,2.03,倒锤子线,-0.2022,1.43,1.18,-0.2727,-0.2022,12
A-双重共振,688068.SH,688068.SH,个股,86.58,1.99,2.0,三外部上涨,-3.0364,78.95,75.1,-7.1829,-4.5593,10
A-双重共振,002296.SZ,002296.SZ,个股,8.84,2.67,1.94,看涨吞没,-0.4525,9.27,8.61,-0.4759,-0.4516,11
A-双重共振,511850.SH,511850.SH,ETF/基金,100.0,0.0,1.85,"锤子线,蜻蜓十字",-0.0011,100.0,100.0,-0.0014,0.0004,50
A-双重共振,600835.SH,600835.SH,个股,22.42,0.09,1.67,三外部上涨,-0.632,21.26,19.8,-1.4809,-0.9092,53
A-双重共振,516600.SH,516600.SH,ETF/基金,0.59,0.0,1.59,蜻蜓十字,-0.0058,0.58,0.57,-0.0091,-0.0082,14
A-双重共振,600882.SH,600882.SH,个股,18.44,5.43,1.56,看涨吞没,-0.2629,17.55,17.49,-1.0656,-0.2766,50
A-双重共振,601226.SH,601226.SH,个股,6.36,-2.9,1.52,倒锤子线,-0.4327,6.85,6.36,-0.5249,-0.4327,12
A-双重共振,688687.SH,688687.SH,个股,16.24,1.5,1.5,三外部上涨,-0.5801,15.95,15.01,-0.9158,-0.6993,10
A-双重共振,920061.BJ,920061.BJ,个股,24.36,3.7,1.47,三外部上涨,-0.3195,21.81,21.28,-1.7983,-0.6742,45
A-双重共振,601108.SH,601108.SH,个股,8.02,6.65,1.45,看涨吞没,-0.0883,7.6,7.33,-0.2713,-0.2124,51
A-双重共振,920039.BJ,920039.BJ,个股,8.21,2.11,1.45,看涨孕线,-0.2543,7.97,7.77,-0.3802,-0.3519,8
A-双重共振,159208.SZ,159208.SZ,ETF/基金,1.16,3.57,1.38,看涨吞没,-0.0316,1.14,1.12,-0.0507,-0.0344,12
A-双重共振,603599.SH,603599.SH,个股,11.01,5.87,1.35,看涨吞没,-0.4548,11.09,10.4,-0.769,-0.5002,15
A-双重共振,003010.SZ,003010.SZ,个股,24.34,3.31,1.33,三外部上涨,-0.9533,23.14,21.94,-1.5429,-1.2038,13
A-双重共振,688636.SH,688636.SH,个股,36.2,7.32,1.33,看涨吞没,-1.215,34.94,33.73,-2.1088,-1.3507,11
A-双重共振,003038.SZ,003038.SZ,个股,12.22,2.17,1.3,看涨吞没,-0.4097,12.02,11.96,-0.633,-0.4237,10
A-双重共振,159837.SZ,159837.SZ,ETF/基金,0.46,0.0,1.3,蜻蜓十字,-0.0018,0.42,0.42,-0.0146,-0.0138,6
A-双重共振,300479.SZ,300479.SZ,个股,13.55,3.51,1.3,"看涨吞没,早晨之星",-0.6548,13.9,13.09,-0.868,-0.6662,11
A-双重共振,301355.SZ,301355.SZ,个股,9.8,4.03,1.3,三内部上涨,-0.5365,10.33,9.37,-0.5614,-0.5466,10
A-双重共振,605056.SH,605056.SH,个股,16.02,3.76,1.28,看涨吞没,-1.6777,17.98,15.44,-1.7311,-1.6941,10
A-双重共振,920160.BJ,920160.BJ,个股,21.39,2.0,1.28,看涨吞没,-0.4057,20.45,20.02,-0.6621,-0.6282,5
A-双重共振,002155.SZ,002155.SZ,个股,27.98,4.95,1.27,三外部上涨,-0.0944,23.98,22.68,-1.406,-1.3181,8
A-双重共振,002796.SZ,002796.SZ,个股,40.97,8.44,1.26,"看涨吞没,早晨之星",-2.5854,38.93,37.78,-3.2817,-2.8297,10
A-双重共振,159209.SZ,159209.SZ,ETF/基金,1.07,-0.93,1.26,蜻蜓十字,-0.0214,1.1,1.07,-0.021,-0.021,13
A-双重共振,601601.SH,601601.SH,个股,31.65,5.57,1.26,曙光初现,-0.8329,31.02,29.98,-1.4774,-0.8703,10
A-双重共振,000893.SZ,000893.SZ,个股,43.42,6.14,1.25,看涨吞没,-1.9955,44.19,40.91,-2.6391,-2.0137,14
A-双重共振,002512.SZ,002512.SZ,个股,3.07,-2.85,1.25,倒锤子线,-0.3325,3.62,3.07,-0.4427,-0.3325,56
A-双重共振,301153.SZ,301153.SZ,个股,16.31,1.94,1.25,看涨吞没,-0.9155,17.1,16.0,-1.0564,-0.8944,11
A-双重共振,300021.SZ,300021.SZ,个股,3.97,-0.75,1.24,蜻蜓十字,-0.0588,3.74,3.68,-0.1492,-0.1492,5
A-双重共振,601995.SH,601995.SH,个股,34.96,4.67,1.24,看涨吞没,0.0203,32.0,31.73,-0.6102,-0.4555,44
A-双重共振,300068.SZ,300068.SZ,个股,4.54,9.4,1.23,"看涨吞没,早晨之星",-0.7296,4.38,3.71,-1.8551,-1.1175,11
